id,segment id,length,frc,speedlimit,streetname,geom,msbase,ms1500,ms1515,ms1530,ms1545,ms1600,ms1615,ms1630,ms1645,ms1700,ms1715,ms1730,ms1745,ms1800,ms1815,ms1830,ms1845,ms1900,ms1915,ms1930,ms1945,ms2000,ms2015,ms2030,ms2045,ms2100,ms2115,base_hits
1368,-15280000284038,160.02,4,50,Hugo de Vrieslaan,,39.00,30.00,41.00,44.00,42.00,48.00,37.00,29.00,17.00,24.00,48.00,42.00,49.00,39.00,42.00,47.00,41.00,32.00,43.00,19.00,55.00,20.00,47.00,,35.00,72.00,43,95
1369,15280000284038,160.02,4,50,Hugo de Vrieslaan,,21.00,10.00,19.00,20.00,,,,42.00,,13.00,,,14.00,17.00,13.00,17.00,17.00,36.00,21.00,30.00,25.00,18.00,37.00,12.00,48.00,16.00,45,65
1377,15280001922636,37.40,2,80,Gooiseweg,,66.00,74.00,73.00,75.00,73.00,70.00,73.00,75.00,75.00,70.00,72.00,66.00,9.00,11.00,10.00,10.00,12.00,11.00,23.00,63.00,70.00,76.00,69.00,71.00,67.00,71.00,72,495
1378,15280000285185,39.75,2,80,Gooiseweg,,75.00,82.00,77.00,78.00,77.00,78.00,80.00,78.00,79.00,80.00,76.00,80.00,79.00,77.00,84.00,73.00,85.00,77.00,79.00,77.00,79.00,87.00,80.00,88.00,82.00,80.00,73,659
1387,15280000350912,231.67,0,70,E35,,76.00,77.00,74.00,31.00,68.00,80.00,72.00,75.00,79.00,80.00,78.00,77.00,80.00,78.00,81.00,80.00,80.00,79.00,72.00,84.00,77.00,81.00,75.00,81.00,80.00,83.00,73,739
1388,15280001185757,18.07,0,100,Ringweg-Zuid,,94.00,95.00,93.00,94.00,94.00,93.00,95.00,97.00,100.00,96.00,98.00,98.00,99.00,97.00,97.00,98.00,99.00,96.00,95.00,101.00,97.00,98.00,101.00,99.00,96.00,100.00,96,2175
1389,15280049500065,307.38,0,70,AnonymousRoadnl10130601,,71.00,62.00,80.00,78.00,119.00,71.00,76.00,62.00,75.00,72.00,,93.00,75.00,79.00,81.00,,69.00,87.00,,92.00,65.00,80.00,119.00,61.00,86.00,61.00,,116
1390,15280051047936,97.37,4,50,Joan Muyskenweg,,54.00,55.00,62.00,65.00,68.00,56.00,56.00,63.00,55.00,54.00,53.00,55.00,62.00,55.00,63.00,58.00,60.00,,,,61.00,,,12.00,,,60,67
1391,-15280051047936,97.37,4,50,Joan Muyskenweg,,53.00,,66.00,,60.00,,71.00,72.00,35.00,,57.00,57.00,,59.00,72.00,50.00,55.00,,,62.00,,,42.00,,,,,72
1392,-15280051015237,359.85,4,60,Amsteldijk Noord,,50.00,,,,,,,,52.00,,,,,,66.00,,,,,,,,,,,,53,13
1393,15280051015237,359.85,4,60,Amsteldijk Noord,,53.00,,,59.00,,,51.00,,,,,,,85.00,,,51.00,,,48.00,49.00,,,,56.00,50.00,,15
1394,15280051014618,268.26,4,60,Amsteldijk Noord,,53.00,,,47.00,,,51.00,,,,,,,52.00,,,55.00,,,51.00,48.00,,,,57.00,53.00,,15
1395,-15280051014618,268.26,4,60,Amsteldijk Noord,,50.00,,,,,,,,63.00,,,,,53.00,70.00,,,,,,,,,,,,54,13
1396,-15280051015236,248.32,4,60,Amsteldijk Noord,,49.00,,,,,,,,61.00,,,,,,70.00,,,,,,,,,,,,55,13
1397,15280051015236,248.32,4,60,Amsteldijk Noord,,50.00,,,56.00,,,50.00,,,,,,,,,,54.00,,,49.00,44.00,,,,58.00,53.00,,15
1400,15280049310100,38.47,2,50,Mr. Treublaan,,33.00,25.00,34.00,31.00,33.00,24.00,30.00,31.00,26.00,35.00,30.00,33.00,32.00,36.00,29.00,42.00,36.00,29.00,31.00,32.00,28.00,30.00,37.00,30.00,40.00,34.00,39,192
1402,15280002358939,45.32,2,50,Mr. Treublaan,,43.00,27.00,3.00,5.00,32.00,3.00,3.00,3.00,3.00,4.00,35.00,,44.00,45.00,42.00,48.00,46.00,49.00,43.00,41.00,50.00,47.00,50.00,49.00,42.00,50.00,42,203
1416,15280000283904,35.51,2,50,Mr. Treublaan,,26.00,33.00,3.00,2.00,6.00,8.00,7.00,4.00,3.00,18.00,41.00,,37.00,,,,,,,,,,,,,,,200
